,type,fullnames,model,n_samples,avg_dice,tile_sizes,pixel_sizes,dice_sample_0,dice_sample_1,dice_sample_2,dice_sample_3,dice_sample_4,dice_sample_5,dice_sample_6,dice_sample_7,dice_sample_8,dice_sample_9,dice_sample_10,dice_sample_11,dice_sample_12,dice_sample_13,dice_sample_14,dice_sample_15,dice_sample_16,dice_sample_17,dice_sample_18,dice_sample_19,dice_sample_20,dice_sample_21,dice_sample_22,dice_sample_23,dice_sample_24,dice_sample_25,dice_sample_26,dice_sample_27,dice_sample_28,dice_sample_29
21,base,deeplab_512_10_n32_RESNET50,deeplab,32,0.5206012220503372,512,10,0.5973074740805695,0.3254792569291946,0.4621838057709419,0.1734765491842177,0.6714052192188685,0.0997162148938252,0.6139969305802709,0.6127803697943667,0.8254515191777022,0.5900503617353069,0.4058157243479916,0.6803242446573323,0.50985328587551,0.7277881123217291,0.6969047680512171,0.5938823057845029,0.5453541045188377,0.8251117619855095,0.845429523395625,0.3367324493871912,0.3613379442620092,0.5390309555854643,0.3311052386133996,0.7810692375109552,0.7155182045011607,0.2240383703088142,0.5038149594472815,0.5572356630824373,0.1919888954987111,0.2738532110091743
22,base,deeplab_512_10_n8_RESNET101,deeplab,8,0.4508489838728505,512,10,0.6302820290692078,0.179027578165252,0.4274215186477059,0.0529797979797979,0.5179832246425646,0.1808001152281156,0.524882788227984,0.3249156396713615,0.7592199865514923,0.0380440520178511,0.4369653193996209,0.6213464696223316,0.4199950882989886,0.6382968077654358,0.7411564064477086,0.8319060872047385,0.5122799019887173,0.609978461629245,0.7884289185348187,0.1174793355587347,0.3937948268587933,0.531748681311344,0.3132530120481928,0.7281605351170568,0.6598155003231683,0.2718601489736993,0.0,0.7330038475779578,0.1836112892880051,0.3568321480356279
23,base,deeplab_512_10_n8_RESNET50,deeplab,8,0.4425620969003525,512,10,0.4539622524560697,0.2889815485256298,0.368369351669941,0.1425533859323118,0.5178232583355923,0.0698787431662977,0.3900028550721455,0.6513789676155337,0.8024395677843378,0.648561427385721,0.385586319218241,0.4972357723577236,0.6008310328962503,0.5859818670917605,0.7267183598370351,0.5700487666303679,0.3589906028930419,0.7471115061188214,0.7724935732647815,0.30267501359084,0.2541917212223202,0.4854239748397242,0.2256084656084656,0.7037401262570186,0.6494660994878028,0.2170507484936952,0.0,0.5140060679107269,0.16642280643791,0.1793287249104689
24,base,deeplab_512_25_n128_RESNET101,deeplab,128,0.4831681696142458,512,25,0.4765415549597855,0.0,0.0,0.0237869982430058,0.6873640976081179,0.0997772828507795,0.6946862413927504,0.6368142197914887,0.8364923498515643,0.8085121500639477,0.5251286110011871,0.7803500846979108,0.4335849891019364,0.798543224075139,0.5365541922290389,0.6901322482197355,0.6247969680563076,0.8461538461538461,0.6348104644954619,0.5290637430223619,0.3748452587274077,0.6998112020138452,0.759493670886076,0.6613418530351438,0.6862827666070113,0.2045039798097457,0.0,0.3226497907522711,0.0404645254944656,0.0825587752870421
25,base,deeplab_512_25_n128_RESNET50,deeplab,128,0.4891417698940307,512,25,0.6829109811565952,0.0959232613908872,0.238954573739888,0.0,0.704168575355016,0.1650260567458019,0.5951226787978223,0.7116589415779555,0.8495735072754641,0.7860042092603728,0.4792812614594793,0.5595667870036101,0.5490627512376761,0.7201699901928735,0.5029438405797102,0.6547707100591716,0.5972602739726027,0.7629830174747724,0.6134686346863468,0.5112667918532429,0.2576843446408663,0.7088167053364269,0.2067183462532299,0.6057064283258852,0.7242676827816147,0.1175948372998258,0.1958298112144266,0.53072,0.2145972666472811,0.3322008305020762
26,base,deeplab_512_25_n2_RESNET101,deeplab,2,0.1030516317269712,512,25,0.0,0.0,0.0,0.0,0.20392015824492,0.2662207357859532,0.0,0.002615518744551,0.1490421455938697,0.0,0.0,0.6026392961876833,0.0292073960664232,0.0,0.2179397337070777,0.1807709348692955,0.0,0.0,0.6478664192949907,0.0,0.2850162866449511,0.0,0.0,0.0721380031364349,0.1789529914529914,0.0593867670790747,0.0,0.195832565000922,0.0,0.0
27,base,deeplab_512_25_n2_RESNET50,deeplab,2,0.1315958064101545,512,25,0.1124000627057532,0.0,0.0,0.0,0.3840915938535703,0.0144404332129963,0.1504405666897028,0.0,0.0744274809160305,0.3672483710757734,0.2910277324632953,0.3286595625350533,0.0792285354227165,0.4638097190896043,0.1686530245109062,0.0,0.3177935074444715,0.0920783993466721,0.0,0.0,0.1080053509821868,0.1581087951194712,0.3473282442748092,0.2750709823963657,0.1712351945854484,0.0230650119022857,0.0,0.0,0.0207616237775228,0.0
28,base,deeplab_512_25_n32_RESNET101,deeplab,32,0.4558287187002038,512,25,0.6838755304101839,0.0391996733360555,0.0,0.0,0.683769116921559,0.0976931803857305,0.4352689587103142,0.6919349255797854,0.8326008789452657,0.6824525074277482,0.4215302769519637,0.5618387449835827,0.5965518897373097,0.7685909166528032,0.6237702738633342,0.6569674067076051,0.6293766011955594,0.8418156808803301,0.7444001227370359,0.0943754149672768,0.3396591789310612,0.6434878587196468,0.0,0.729106628242075,0.7119033399182249,0.1395680037977688,0.0,0.5652563789027472,0.0132342461569785,0.4466338259441708
29,base,deeplab_512_25_n32_RESNET50,deeplab,32,0.5047083361892206,512,25,0.7283763277693475,0.0423337856173677,0.2240837696335078,0.0,0.6949962817380219,0.1209508015478164,0.680438827227818,0.699625287078448,0.8644259430568404,0.775944120356156,0.514606306829174,0.7852314092563702,0.4731611834675902,0.7872533043635705,0.4581734458940905,0.6665408567654274,0.7965169569202566,0.7899761336515513,0.7013138686131387,0.3197008462901003,0.3659839715048976,0.6758241758241759,0.3330087633885102,0.7679814385150812,0.7380592281797336,0.0640586797066014,0.1505719606278265,0.4861285375714484,0.0783415166393889,0.3576423576423576
30,base,deeplab_512_25_n8_RESNET101,deeplab,8,0.1291947322583201,512,25,0.200079978672354,0.0,0.0880594310563507,0.0,0.3995762507824914,0.0204726347747599,0.0,0.0,0.5117736012097646,0.0,0.0861695107004808,0.1174408413672217,0.0,0.2998735472993316,0.1851586373410797,0.0,0.3375462392108508,0.2881397840600016,0.0,0.0930337688169612,0.0698417155090724,0.1327370667750787,0.2702265372168285,0.2978172999191593,0.4778951230378154,0.0,0.0,0.0,0.0,0.0
